"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to search flights from Kolkata (CCU) to Mumbai (BOM) with 3 Adults, 2 Children, and 1 Infant","85117","Search for flights from CCU to BOM with multiple passengers","YatraFlightFramework","Mon Aug 18 23:51:11 IST 2025","passed","Mon Aug 18 23:52:36 IST 2025","tests.YatraFlightBookingTest","YatraFlightFramework Tests","tests.YatraFlightBookingTest","testFlightBooking"
"Test to search flights from Kolkata (CCU) to Mumbai (BOM) with 3 Adults, 2 Children, and 1 Infant","76092","Search for flights from CCU to BOM with multiple passengers","YatraFlightFramework","Mon Aug 18 23:51:10 IST 2025","passed","Mon Aug 18 23:52:27 IST 2025","tests.YatraFlightBookingTest","YatraFlightFramework Tests","tests.YatraFlightBookingTest","testFlightBooking"
