"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to search flights from Kolkata (CCU) to Mumbai (BOM) with 3 Adults, 2 Children, and 1 Infant","102092","Search for flights from CCU to BOM with multiple passengers","YatraFlightFramework","Tue Aug 19 01:53:55 IST 2025","passed","Tue Aug 19 01:55:37 IST 2025","tests.YatraFlightBookingTest","YatraFlightFramework Tests","tests.YatraFlightBookingTest","testFlightBooking"
"Test to search flights from Kolkata (CCU) to Mumbai (BOM) with 3 Adults, 2 Children, and 1 Infant","103735","Search for flights from CCU to BOM with multiple passengers","YatraFlightFramework","Tue Aug 19 01:53:53 IST 2025","passed","Tue Aug 19 01:55:36 IST 2025","tests.YatraFlightBookingTest","YatraFlightFramework Tests","tests.YatraFlightBookingTest","testFlightBooking"
