"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to search flights from Kolkata (CCU) to Mumbai (BOM) with 3 Adults, 2 Children, and 1 Infant","103715","Search for flights from CCU to BOM with multiple passengers","YatraFlightFramework","Mon Aug 18 21:40:56 IST 2025","passed","Mon Aug 18 21:42:39 IST 2025","tests.YatraFlightBookingTest2","YatraFlightFramework Tests","tests.YatraFlightBookingTest2","testFlightBooking"
"Test to search flights from Kolkata (CCU) to Mumbai (BOM) with 3 Adults, 2 Children, and 1 Infant","76570","Search for flights from CCU to BOM with multiple passengers","YatraFlightFramework","Mon Aug 18 22:12:20 IST 2025","passed","Mon Aug 18 22:13:37 IST 2025","tests.YatraFlightBookingTest","YatraFlightFramework Tests","tests.YatraFlightBookingTest","testFlightBooking"
