"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to search flights from Kolkata (CCU) to Mumbai (BOM) with 3 Adults, 2 Children, and 1 Infant","83119","Search for flights from CCU to BOM with multiple passengers","YatraFlightFramework","Mon Aug 18 22:24:59 IST 2025","passed","Mon Aug 18 22:26:22 IST 2025","tests.YatraFlightBookingTest","YatraFlightFramework Tests","tests.YatraFlightBookingTest","testFlightBooking"
"Test to search flights from Kolkata (CCU) to Mumbai (BOM) with 3 Adults, 2 Children, and 1 Infant","43541","Search for flights from CCU to BOM with multiple passengers","YatraFlightFramework","Mon Aug 18 22:24:59 IST 2025","passed","Mon Aug 18 22:25:42 IST 2025","tests.YatraFlightBookingTest2","YatraFlightFramework Tests","tests.YatraFlightBookingTest2","testFlightBooking"
